"init_tprime";"init_t";"init_p";"seed";"nm";"nf";"dm";"df";"base_surv";"base_mort";"a";"cp";"cs";"k";"fl";"fh";"control_p";"control_t";"control_tprime";"mu_t";"mu_p";"mu_tprime";"sdmu_t";"sdmu_p";"sdmu_tprime";"generation";"t";"p";"tprime";"var_t";"var_p";"var_tprime";"file"
0.01;0.01;0.2;528567498;7;5;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;4;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;0.00879968;0.0208582;0.0013652;0.000486429;0.000865608;0.00137357;"./output_42.csv"
0.01;0.01;0.2;2929613954;8;4;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;4;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;-0.0018705;0.0160147;0.00459404;0.000503385;0.000789165;0.00076856;"./output_43.csv"
0.01;0.01;0.2;423251330;9;3;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;4;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;0.00152858;0.0354203;0.00300373;0.00065248;0.00024394;0.000822621;"./output_44.csv"
0.01;0.01;0.2;203267136;10;2;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;4;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;0.00282879;0.0218194;0.00483616;0.000572437;0.000856202;0.000880064;"./output_45.csv"
0.01;0.01;0.2;989667564;2;10;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;0;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;-0.000546599;0.0343624;-0.0115318;0.000241186;0.000119677;0.00110684;"./output_46.csv"
0.01;0.01;0.2;2639461871;3;9;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;0;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;-0.00305522;0.011549;0.0120656;0.00039791;0.000885568;0.00069503;"./output_47.csv"
0.01;0.01;0.2;1976222550;4;8;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;0;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;0.000775421;0.0265928;-0.00156878;0.000327733;0.00018059;0.0010756;"./output_48.csv"
0.01;0.01;0.2;3073755324;5;7;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;0;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;-0.00669137;0.026431;0.000867143;0.000306808;0.000665578;0.00097812;"./output_49.csv"
0.01;0.01;0.2;3262385028;6;6;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;0;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;-0.0025378;-0.00452395;0.00139744;0.000262628;0.00120563;0.00153444;"./output_5.csv"
0.01;0.01;0.2;3155578828;6;6;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;0;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;0.00172867;0.0108343;0.00234575;0.000308905;0.000930894;0.000918057;"./output_50.csv"
